sitecoreurl,aemurl,aemtemplate,pagegroup,pagetype
https://www.prudential.com.sg/,https://aem-uat.prudential.com.sg/en/,LBU Homepage,normal,lbu-homepage
https://www.prudential.com.sg/lifestage,https://aem-uat.prudential.com.sg/en/lifestage,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/lifestage/caring-for-elderly-parents-or-children,https://aem-uat.prudential.com.sg/en/lifestage/caring-for-elderly-parents-or-children,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/lifestage/new-to-workforce,https://aem-uat.prudential.com.sg/en/lifestage/new-to-workforce,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/lifestage/retirement,https://aem-uat.prudential.com.sg/en/lifestage/retirement,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/lifestage/settling-down,https://aem-uat.prudential.com.sg/en/lifestage/settling-down,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/lifestage/young-family,https://aem-uat.prudential.com.sg/en/lifestage/young-family,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/opus-gift-redemption-guide,https://aem-uat.prudential.com.sg/en/opus-gift-redemption-guide,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/piibproductdeck,https://aem-uat.prudential.com.sg/en/piibproductdeck,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/piliproductdeck,https://aem-uat.prudential.com.sg/en/piliproductdeck,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Multi Asset Income Fund Distribution,https://aem-uat.prudential.com.sg/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Multi Asset Income Fund Distribution,Custom Page,custom,ilp-fund
https://www.prudential.com.sg/products/wealth-accumulation/ilp/prulink-funds/PRULink China India Fund,https://aem-uat.prudential.com.sg/en/products/wealth-accumulation/ilp/prulink-funds/PRULink China India Fund,Custom Page,custom,ilp-fund
https://www.prudential.com.sg/products/wealth-accumulation/ilp/prulink-funds/PRULink Emerging Markets Fund,https://aem-uat.prudential.com.sg/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Emerging Markets Fund,Custom Page,custom,ilp-fund
https://www.prudential.com.sg/products/wealth-accumulation/ilp/prulink-funds/PRULink FlexGrowth Fund,https://aem-uat.prudential.com.sg/en/products/wealth-accumulation/ilp/prulink-funds/PRULink FlexGrowth Fund,Custom Page,custom,ilp-fund
https://www.prudential.com.sg/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Bond Fund,https://aem-uat.prudential.com.sg/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Bond Fund,Custom Page,custom,ilp-fund
https://www.prudential.com.sg/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Climate Change Equity Fund Accumulation,https://aem-uat.prudential.com.sg/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Climate Change Equity Fund Accumulation,Custom Page,custom,ilp-fund
https://www.prudential.com.sg/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Diversified Income Fund Distribution,https://aem-uat.prudential.com.sg/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Diversified Income Fund Distribution,Custom Page,custom,ilp-fund
https://www.prudential.com.sg/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Dividend Wealth Fund Distribution,https://aem-uat.prudential.com.sg/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Dividend Wealth Fund Distribution,Custom Page,custom,ilp-fund
https://www.prudential.com.sg/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Episode Macro Fund Accumulation,https://aem-uat.prudential.com.sg/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Episode Macro Fund Accumulation,Custom Page,custom,ilp-fund
https://www.prudential.com.sg/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Equity Fund,https://aem-uat.prudential.com.sg/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Global Equity Fund,Custom Page,custom,ilp-fund
