sitecoreurl,aemurl,aemtemplate,pagegroup,pagetype
/prupanel-connect/verification/PRUHealthcare-list,/en/prupanel-connect/verification/PRUHealthcare-list,Custom Page,custom,custom-other
/about/about-us/createsomethingnew,/en/about/about-us/createsomethingnew,Custom Page,custom,custom-other
/about/about-us/createsomethingnew/ourpeople/aryani,/en/about/about-us/createsomethingnew/ourpeople/aryani,Custom Page,custom,custom-other
/about/about-us/createsomethingnew/ourpeople/ekin,/en/about/about-us/createsomethingnew/ourpeople/ekin,Custom Page,custom,custom-other
/about/about-us/createsomethingnew/ourpeople/el_lynn,/en/about/about-us/createsomethingnew/ourpeople/el_lynn,Custom Page,custom,custom-other
/about/about-us/createsomethingnew/ourpeople/isha,/en/about/about-us/createsomethingnew/ourpeople/isha,Custom Page,custom,custom-other
/about/about-us/createsomethingnew/ourpeople/mae,/en/about/about-us/createsomethingnew/ourpeople/mae,Custom Page,custom,custom-other
/about/about-us/createsomethingnew/whatsnew,/en/about/about-us/createsomethingnew/whatsnew,Custom Page,custom,custom-other
/services/prudiscovery,/en/services/prudiscovery,Custom Page,custom,custom-other
/services/prudiscovery/report,/en/services/prudiscovery/report,Custom Page,custom,custom-other
