sitecoreurl,aemurl,aemtemplate,pagegroup,pagetype
/products/wealth-accumulation/ilp/prulink-funds,/en/products/wealth-accumulation/ilp/prulink-funds,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/compare,/en/products/wealth-accumulation/ilp/prulink-funds/compare,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink ActiveInvest Portfolio Balanced Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink ActiveInvest Portfolio Balanced Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink ActiveInvest Portfolio Conservative Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink ActiveInvest Portfolio Conservative Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink ActiveInvest Portfolio Growth Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink ActiveInvest Portfolio Growth Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink ActiveInvest Portfolio Moderate Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink ActiveInvest Portfolio Moderate Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Adapt 2035 Fund,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Adapt 2035 Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink America Fund,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink America Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink America Fund Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink America Fund Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian American Managed Fund,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian American Managed Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Equity Fund,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Equity Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Fixed Income Fund Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Fixed Income Fund Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Fixed Income Fund Distribution,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Fixed Income Fund Distribution,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Income and Growth Fund Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Income and Growth Fund Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Income and Growth Fund Distribution,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Income and Growth Fund Distribution,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Income and Growth Fund USD Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Income and Growth Fund USD Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Income Fund,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Income Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Multi Asset Income Fund Accumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Multi Asset Income Fund Accumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Multi Asset Income Fund Decumulation,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Multi Asset Income Fund Decumulation,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Multi Asset Income Fund Distribution,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Asian Multi Asset Income Fund Distribution,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink China India Fund,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink China India Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink Emerging Markets Fund,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink Emerging Markets Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/prulink-funds/PRULink FlexGrowth Fund,/en/products/wealth-accumulation/ilp/prulink-funds/PRULink FlexGrowth Fund,Custom Page,custom,ilp-fund
