sitecoreurl,aemurl,aemtemplate,pagegroup,pagetype
/sitecore/content/Prudential/Home/campaigns/ready-for-100,/sitecore/content/Prudential/Home/campaigns/ready-for-100,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/404,https://aem-uat.prudential.com.sg/en/404,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/JoinPru-old,https://aem-uat.prudential.com.sg/en/JoinPru-old,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/JoinPru-old/Join Us,https://aem-uat.prudential.com.sg/en/JoinPru-old/Join Us,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/JoinPru-old/PRU Events,https://aem-uat.prudential.com.sg/en/JoinPru-old/PRU Events,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/JoinPru-old/PRUProtege,https://aem-uat.prudential.com.sg/en/JoinPru-old/PRUProtege,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/JoinPru-old/PRUVenture,https://aem-uat.prudential.com.sg/en/JoinPru-old/PRUVenture,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/JoinPru-old/Testimonials,https://aem-uat.prudential.com.sg/en/JoinPru-old/Testimonials,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/PRUSafeGift,https://aem-uat.prudential.com.sg/en/PRUSafeGift,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/PRUSafeGift/Agency,https://aem-uat.prudential.com.sg/en/PRUSafeGift/Agency,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/PRUSafeGift/CSF,https://aem-uat.prudential.com.sg/en/PRUSafeGift/CSF,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/PRUSafeGift/PFA,https://aem-uat.prudential.com.sg/en/PRUSafeGift/PFA,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/PRUSafeGift/UOB,https://aem-uat.prudential.com.sg/en/PRUSafeGift/UOB,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/PRUSafeIncome,https://aem-uat.prudential.com.sg/en/PRUSafeIncome,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/Search,https://aem-uat.prudential.com.sg/en/Search,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/Standard-marketing-consent-clause,https://aem-uat.prudential.com.sg/en/Standard-marketing-consent-clause,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about,https://aem-uat.prudential.com.sg/en/about,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us,https://aem-uat.prudential.com.sg/en/about/about-us,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us/demerger-announcement,https://aem-uat.prudential.com.sg/en/about/about-us/demerger-announcement,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us/financial-listings,https://aem-uat.prudential.com.sg/en/about/about-us/financial-listings,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us/financial-listings/annual-bonus-update,https://aem-uat.prudential.com.sg/en/about/about-us/financial-listings/annual-bonus-update,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us/financial-listings/fund-reports,https://aem-uat.prudential.com.sg/en/about/about-us/financial-listings/fund-reports,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us/our-board-of-directors,https://aem-uat.prudential.com.sg/en/about/about-us/our-board-of-directors,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us/our-brand,https://aem-uat.prudential.com.sg/en/about/about-us/our-brand,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us/our-leaders,https://aem-uat.prudential.com.sg/en/about/about-us/our-leaders,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us/sustainability,https://aem-uat.prudential.com.sg/en/about/about-us/sustainability,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us/sustainability/Good Governance Responsible Business Practices,https://aem-uat.prudential.com.sg/en/about/about-us/sustainability/Good Governance Responsible Business Practices,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us/sustainability/Responsible Investment,https://aem-uat.prudential.com.sg/en/about/about-us/sustainability/Responsible Investment,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us/sustainability/Sustainability-Report-del,https://aem-uat.prudential.com.sg/en/about/about-us/sustainability/Sustainability-Report-del,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us/sustainability/Sustainable-Business,https://aem-uat.prudential.com.sg/en/about/about-us/sustainability/Sustainable-Business,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us/sustainability/managing-climate-risks,https://aem-uat.prudential.com.sg/en/about/about-us/sustainability/managing-climate-risks,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us/sustainability/responsible-investment,https://aem-uat.prudential.com.sg/en/about/about-us/sustainability/responsible-investment,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us/sustainability/simple-and-accessible-health-and-financial-protection,https://aem-uat.prudential.com.sg/en/about/about-us/sustainability/simple-and-accessible-health-and-financial-protection,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/about-us/sustainability/sustainability-report,https://aem-uat.prudential.com.sg/en/about/about-us/sustainability/sustainability-report,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/community-investment,https://aem-uat.prudential.com.sg/en/about/community-investment,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/community-investment/cha-ching,https://aem-uat.prudential.com.sg/en/about/community-investment/cha-ching,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/community-investment/enhancing-financial-literacy-among-children,https://aem-uat.prudential.com.sg/en/about/community-investment/enhancing-financial-literacy-among-children,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/community-investment/healthy-with-kidstart,https://aem-uat.prudential.com.sg/en/about/community-investment/healthy-with-kidstart,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/community-investment/promoting-early-childhood-care-and-development,https://aem-uat.prudential.com.sg/en/about/community-investment/promoting-early-childhood-care-and-development,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/community-investment/seniors-wellbeing-masterclass,https://aem-uat.prudential.com.sg/en/about/community-investment/seniors-wellbeing-masterclass,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/community-investment/supporting-healthy-and-active-ageing,https://aem-uat.prudential.com.sg/en/about/community-investment/supporting-healthy-and-active-ageing,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/corporate-governance,https://aem-uat.prudential.com.sg/en/about/corporate-governance,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/corporate-governance/fair-dealing,https://aem-uat.prudential.com.sg/en/about/corporate-governance/fair-dealing,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/corporate-governance/our-commitment,https://aem-uat.prudential.com.sg/en/about/corporate-governance/our-commitment,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/corporate-governance/our-commitment/code-of-ethics,https://aem-uat.prudential.com.sg/en/about/corporate-governance/our-commitment/code-of-ethics,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/corporate-governance/our-commitment/supplier-code-of-conduct,https://aem-uat.prudential.com.sg/en/about/corporate-governance/our-commitment/supplier-code-of-conduct,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/newsroom,https://aem-uat.prudential.com.sg/en/about/newsroom,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/newsroom/customer-stories,https://aem-uat.prudential.com.sg/en/about/newsroom/customer-stories,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/newsroom/customer-stories/page-component/Second-Chance-in-Life-video,https://aem-uat.prudential.com.sg/en/about/newsroom/customer-stories/page-component/Second-Chance-in-Life-video,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/about/our-history,https://aem-uat.prudential.com.sg/en/about/our-history,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/agency-info,https://aem-uat.prudential.com.sg/en/agency-info,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/annual-reports,https://aem-uat.prudential.com.sg/en/annual-reports,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/campaigns/2023pvw_form123,https://aem-uat.prudential.com.sg/en/campaigns/2023pvw_form123,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/campaigns/ready-for-100/articles/digital-for-100,https://aem-uat.prudential.com.sg/en/campaigns/ready-for-100/articles/digital-for-100,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/campaigns/ready-for-100/articles/healthy-for-100,https://aem-uat.prudential.com.sg/en/campaigns/ready-for-100/articles/healthy-for-100,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/campaigns/ready-for-100/articles/ready-for-100,https://aem-uat.prudential.com.sg/en/campaigns/ready-for-100/articles/ready-for-100,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/campaigns/ready-for-100/articles/reimagining-for-100,https://aem-uat.prudential.com.sg/en/campaigns/ready-for-100/articles/reimagining-for-100,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/campaigns/ready-for-100/articles/saving-for-100,https://aem-uat.prudential.com.sg/en/campaigns/ready-for-100/articles/saving-for-100,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/campaigns/ready-for-100/articles/skilled-for-100,https://aem-uat.prudential.com.sg/en/campaigns/ready-for-100/articles/skilled-for-100,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/campaigns/ready-for-100/infographic/top-takeaways,https://aem-uat.prudential.com.sg/en/campaigns/ready-for-100/infographic/top-takeaways,General Content Detail Page,normal,general-content-detail-page
https://www.prudential.com.sg/campaigns/scb-form-ascendpyf,https://aem-uat.prudential.com.sg/en/campaigns/scb-form-ascendpyf,General Content Detail Page,normal,general-content-detail-page
