sitecoreurl,aemurl,aemtemplate,pagegroup,pagetype
/products/legacy-planning/prulifetime-income-premier-series,/en/products/legacy-planning/prulifetime-income-premier-series,Product Details Page,normal,product-details-page
/products/legacy-planning/prulife-vantage-achiever-prime-series,/en/products/legacy-planning/prulife-vantage-achiever-prime-series,Product Details Page,normal,product-details-page
/products/legacy-planning/pruvantage-legacy-index,/en/products/legacy-planning/pruvantage-legacy-index,Product Details Page,normal,product-details-page
/products/product-category-form-page,/en/products/product-category-form-page,Product Details Page,normal,product-details-page
/products/srs,/en/products/srs,Product Details Page,normal,product-details-page
/products/srs/play-the-right-cards-with-srs,/en/products/srs/play-the-right-cards-with-srs,Product Details Page,normal,product-details-page
/products/promotions/inspire-to-dream-big,/en/products/promotions/inspire-to-dream-big,Product Details Page,normal,product-details-page
/products/promotions/buildyourfinancialconfidence,/en/products/promotions/buildyourfinancialconfidence,Product Details Page,normal,product-details-page
/products/promotions/buildyourfinancialconfidence-scb,/en/products/promotions/buildyourfinancialconfidence-scb,Product Details Page,normal,product-details-page
/products/promotions/buildyourfinancialconfidence-uob,/en/products/promotions/buildyourfinancialconfidence-uob,Product Details Page,normal,product-details-page
/products/promotions/celebratelife2,/en/products/promotions/celebratelife2,Product Details Page,normal,product-details-page
/products/promotions/celebratelife2-scb,/en/products/promotions/celebratelife2-scb,Product Details Page,normal,product-details-page
/products/promotions/celebratelife2-uob,/en/products/promotions/celebratelife2-uob,Product Details Page,normal,product-details-page
/products/promotions/empoweryourfuture,/en/products/promotions/empoweryourfuture,Product Details Page,normal,product-details-page
/products/promotions/empoweryourfuture2,/en/products/promotions/empoweryourfuture2,Product Details Page,normal,product-details-page
/products/promotions/empoweryourfuture2-scb,/en/products/promotions/empoweryourfuture2-scb,Product Details Page,normal,product-details-page
/products/promotions/empoweryourfuture2-uob,/en/products/promotions/empoweryourfuture2-uob,Product Details Page,normal,product-details-page
/products/promotions/empoweryourfuture-scb,/en/products/promotions/empoweryourfuture-scb,Product Details Page,normal,product-details-page
/products/promotions/empoweryourfuture-uob,/en/products/promotions/empoweryourfuture-uob,Product Details Page,normal,product-details-page
/products/promotions/say-goodbye-to-cheques,/en/products/promotions/say-goodbye-to-cheques,Product Details Page,normal,product-details-page
/products/promotions/scbpacs25thanniversary,/en/products/promotions/scbpacs25thanniversary,Product Details Page,normal,product-details-page
/products/promotions/thrivetodaysecuretomorrow,/en/products/promotions/thrivetodaysecuretomorrow,Product Details Page,normal,product-details-page
